freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.721e+01,1.288e+02,4.250e+02,6.110e+02
1.4,2.445e+02,4.291e+02,4.724e+02,1.146e+03
2.9,2.799e+02,4.980e+02,3.220e+02,1.100e+03
4.3,2.901e+02,5.537e+02,5.514e+02,1.395e+03
5.7,3.410e+02,5.499e+02,1.430e+03,2.321e+03
7.2,3.690e+02,5.196e+02,1.960e+03,2.849e+03
8.6,3.255e+02,4.823e+02,2.672e+03,3.480e+03
10.1,3.258e+02,4.476e+02,3.708e+03,4.481e+03
11.5,3.184e+02,3.641e+02,4.966e+03,5.649e+03
12.9,3.202e+02,3.042e+02,6.974e+03,7.598e+03
14.4,3.267e+02,3.046e+02,9.613e+03,1.024e+04
15.8,3.240e+02,2.986e+02,1.217e+04,1.280e+04
17.2,3.374e+02,3.403e+02,1.527e+04,1.595e+04
18.7,3.351e+02,3.469e+02,1.878e+04,1.947e+04
20.1,3.608e+02,3.610e+02,2.216e+04,2.288e+04
21.5,3.673e+02,4.472e+02,2.705e+04,2.787e+04
23.0,3.914e+02,5.628e+02,3.332e+04,3.427e+04
24.4,4.107e+02,5.722e+02,3.891e+04,3.989e+04
25.8,4.275e+02,5.643e+02,4.739e+04,4.838e+04
27.3,4.550e+02,6.432e+02,5.883e+04,5.993e+04
28.7,5.444e+02,8.086e+02,7.526e+04,7.661e+04
30.2,6.791e+02,1.215e+03,1.039e+05,1.058e+05
31.6,9.465e+02,2.119e+03,1.440e+05,1.471e+05
33.0,1.416e+03,2.704e+03,1.801e+05,1.842e+05
34.5,2.426e+03,4.062e+03,2.430e+05,2.495e+05
35.9,4.751e+03,8.861e+03,3.811e+05,3.947e+05
37.3,1.013e+04,2.115e+04,6.568e+05,6.881e+05
38.8,1.939e+04,3.924e+04,9.441e+05,1.003e+06
40.2,2.476e+04,4.536e+04,9.390e+05,1.009e+06
41.6,2.590e+04,4.269e+04,7.978e+05,8.664e+05
43.1,2.460e+04,3.787e+04,6.354e+05,6.978e+05
44.5,2.462e+04,3.463e+04,5.233e+05,5.825e+05
46.0,2.429e+04,3.386e+04,4.481e+05,5.063e+05
47.4,2.193e+04,3.393e+04,3.882e+05,4.440e+05
48.8,1.751e+04,3.397e+04,3.369e+05,3.884e+05
50.3,1.290e+04,3.774e+04,3.216e+05,3.722e+05
51.7,9.474e+03,4.626e+04,3.390e+05,3.948e+05
53.1,9.198e+03,5.884e+04,3.569e+05,4.249e+05
54.6,8.666e+03,6.391e+04,3.207e+05,3.933e+05
56.0,7.599e+03,5.972e+04,2.529e+05,3.202e+05
57.4,8.168e+03,5.671e+04,1.985e+05,2.634e+05
58.9,7.678e+03,5.632e+04,1.606e+05,2.245e+05
60.3,7.703e+03,5.274e+04,1.267e+05,1.871e+05
61.8,9.538e+03,4.818e+04,1.001e+05,1.578e+05
63.2,1.226e+04,4.213e+04,9.353e+04,1.479e+05
64.6,1.567e+04,3.283e+04,9.274e+04,1.412e+05
66.1,1.856e+04,2.313e+04,8.669e+04,1.284e+05
67.5,1.800e+04,1.496e+04,7.577e+04,1.087e+05
68.9,1.461e+04,1.051e+04,6.794e+04,9.306e+04
70.4,9.431e+03,1.585e+04,6.164e+04,8.692e+04
71.8,6.600e+03,2.980e+04,5.503e+04,9.143e+04
73.2,5.367e+03,4.769e+04,5.094e+04,1.040e+05
74.7,4.654e+03,6.574e+04,4.792e+04,1.183e+05
76.1,5.361e+03,8.101e+04,4.742e+04,1.338e+05
77.5,6.498e+03,1.005e+05,4.760e+04,1.546e+05
79.0,7.242e+03,1.209e+05,4.324e+04,1.713e+05
80.4,7.876e+03,1.505e+05,3.958e+04,1.980e+05
81.9,8.695e+03,1.788e+05,3.445e+04,2.219e+05
83.3,9.291e+03,1.828e+05,2.782e+04,2.199e+05
84.7,9.082e+03,1.657e+05,2.264e+04,1.974e+05
86.2,7.546e+03,1.550e+05,1.991e+04,1.824e+05
87.6,6.813e+03,1.581e+05,1.729e+04,1.822e+05
89.0,6.917e+03,1.547e+05,1.436e+04,1.760e+05
90.5,6.839e+03,1.387e+05,1.168e+04,1.573e+05
91.9,6.709e+03,1.248e+05,8.968e+03,1.405e+05
93.3,7.267e+03,1.275e+05,7.011e+03,1.418e+05
94.8,7.794e+03,1.205e+05,5.040e+03,1.333e+05
96.2,7.684e+03,1.060e+05,3.949e+03,1.176e+05
97.7,7.409e+03,9.109e+04,3.182e+03,1.017e+05
99.1,7.070e+03,7.716e+04,2.819e+03,8.705e+04
100.5,6.763e+03,6.845e+04,2.892e+03,7.810e+04
102.0,6.579e+03,6.011e+04,3.398e+03,7.009e+04
