freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.421e+02,1.093e+01,1.219e+01,5.652e+02
1.5,3.166e+02,3.573e+01,3.717e+01,3.895e+02
3.1,2.776e+01,3.652e+01,3.738e+01,1.017e+02
4.6,3.239e+02,3.158e+01,3.589e+01,3.913e+02
6.1,1.182e+03,2.772e+01,3.627e+01,1.246e+03
7.7,1.852e+03,2.763e+01,3.591e+01,1.915e+03
9.2,2.590e+03,3.021e+01,3.439e+01,2.654e+03
10.7,3.468e+03,3.140e+01,3.134e+01,3.530e+03
12.3,4.497e+03,3.152e+01,3.072e+01,4.559e+03
13.8,5.627e+03,3.140e+01,3.197e+01,5.691e+03
15.3,6.915e+03,3.086e+01,3.433e+01,6.980e+03
16.9,8.370e+03,3.239e+01,3.828e+01,8.440e+03
18.4,9.917e+03,3.781e+01,4.086e+01,9.996e+03
19.9,1.174e+04,3.901e+01,4.484e+01,1.183e+04
21.5,1.402e+04,3.134e+01,4.109e+01,1.410e+04
23.0,1.687e+04,2.970e+01,4.223e+01,1.694e+04
24.5,2.039e+04,3.191e+01,4.846e+01,2.047e+04
26.1,2.418e+04,3.178e+01,5.777e+01,2.426e+04
27.6,2.814e+04,3.494e+01,6.354e+01,2.824e+04
29.1,3.180e+04,3.955e+01,6.183e+01,3.190e+04
30.7,3.509e+04,3.962e+01,6.899e+01,3.519e+04
32.2,3.858e+04,3.854e+01,7.466e+01,3.870e+04
33.7,4.240e+04,3.936e+01,8.440e+01,4.252e+04
35.3,4.683e+04,3.872e+01,1.069e+02,4.698e+04
36.8,5.224e+04,3.542e+01,1.189e+02,5.239e+04
38.3,5.859e+04,3.077e+01,1.331e+02,5.875e+04
39.9,6.586e+04,3.421e+01,1.445e+02,6.604e+04
41.4,7.446e+04,3.488e+01,1.415e+02,7.464e+04
43.0,8.493e+04,3.689e+01,1.246e+02,8.509e+04
44.5,9.824e+04,4.190e+01,1.165e+02,9.840e+04
46.0,1.121e+05,4.052e+01,1.458e+02,1.123e+05
47.6,1.253e+05,5.116e+01,2.077e+02,1.256e+05
49.1,1.350e+05,7.295e+01,2.919e+02,1.354e+05
50.6,1.380e+05,8.667e+01,3.727e+02,1.384e+05
52.2,1.390e+05,9.085e+01,5.054e+02,1.396e+05
53.7,1.452e+05,1.069e+02,6.430e+02,1.459e+05
55.2,1.608e+05,1.323e+02,7.412e+02,1.617e+05
56.8,1.823e+05,2.301e+02,1.067e+03,1.836e+05
58.3,2.008e+05,2.747e+02,1.308e+03,2.023e+05
59.8,2.228e+05,3.438e+02,1.205e+03,2.243e+05
61.4,2.540e+05,5.208e+02,1.102e+03,2.556e+05
62.9,2.893e+05,7.686e+02,1.303e+03,2.914e+05
64.4,3.283e+05,1.247e+03,1.674e+03,3.312e+05
66.0,3.797e+05,1.754e+03,2.460e+03,3.839e+05
67.5,4.407e+05,2.673e+03,3.912e+03,4.473e+05
69.0,5.026e+05,4.285e+03,5.982e+03,5.129e+05
70.6,5.677e+05,6.400e+03,8.362e+03,5.825e+05
72.1,6.325e+05,8.453e+03,1.020e+04,6.512e+05
73.6,7.051e+05,9.275e+03,1.178e+04,7.261e+05
75.2,8.432e+05,9.196e+03,1.220e+04,8.646e+05
76.7,1.163e+06,8.721e+03,1.271e+04,1.184e+06
78.2,1.778e+06,8.046e+03,1.538e+04,1.802e+06
79.8,2.558e+06,6.705e+03,1.972e+04,2.585e+06
81.3,3.244e+06,5.119e+03,2.458e+04,3.274e+06
82.8,3.626e+06,3.482e+03,2.439e+04,3.654e+06
84.4,3.465e+06,1.984e+03,2.054e+04,3.488e+06
85.9,3.121e+06,1.063e+03,1.868e+04,3.140e+06
87.4,2.795e+06,5.932e+02,1.871e+04,2.814e+06
89.0,2.396e+06,3.738e+02,1.705e+04,2.414e+06
90.5,2.070e+06,2.890e+02,1.445e+04,2.085e+06
92.0,1.796e+06,2.716e+02,1.146e+04,1.808e+06
93.6,1.547e+06,2.651e+02,8.698e+03,1.556e+06
95.1,1.318e+06,3.132e+02,6.187e+03,1.324e+06
96.6,1.115e+06,3.822e+02,4.003e+03,1.120e+06
98.2,9.553e+05,4.408e+02,2.436e+03,9.582e+05
99.7,8.019e+05,4.626e+02,1.379e+03,8.038e+05
101.2,6.466e+05,5.076e+02,7.614e+02,6.479e+05
102.8,5.220e+05,4.824e+02,3.740e+02,5.229e+05
104.3,4.281e+05,3.741e+02,2.755e+02,4.287e+05
105.8,3.514e+05,2.635e+02,3.904e+02,3.520e+05
107.4,2.972e+05,1.583e+02,6.913e+02,2.980e+05
108.9,2.649e+05,1.542e+02,1.459e+03,2.666e+05
110.4,2.430e+05,3.516e+02,2.977e+03,2.463e+05
112.0,2.188e+05,8.957e+02,4.936e+03,2.246e+05
113.5,1.968e+05,1.877e+03,6.614e+03,2.052e+05
115.0,1.878e+05,3.279e+03,7.605e+03,1.987e+05
116.6,1.889e+05,5.535e+03,8.706e+03,2.032e+05
118.1,1.980e+05,9.377e+03,1.084e+04,2.182e+05
