freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.553e+02,5.745e+01,8.117e+01,5.940e+02
1.5,5.798e+02,2.996e+02,4.602e+02,1.340e+03
2.9,4.105e+02,3.425e+02,5.403e+02,1.293e+03
4.4,5.396e+02,3.594e+02,4.991e+02,1.398e+03
5.8,1.239e+03,3.314e+02,5.036e+02,2.074e+03
7.3,1.988e+03,3.257e+02,5.468e+02,2.860e+03
8.7,2.639e+03,3.413e+02,5.243e+02,3.504e+03
10.2,3.370e+03,3.178e+02,4.866e+02,4.175e+03
11.7,4.137e+03,3.464e+02,5.211e+02,5.004e+03
13.1,5.203e+03,3.639e+02,5.413e+02,6.108e+03
14.6,6.347e+03,3.543e+02,6.215e+02,7.323e+03
16.0,7.677e+03,3.410e+02,5.938e+02,8.612e+03
17.5,8.908e+03,3.802e+02,5.301e+02,9.819e+03
18.9,1.058e+04,3.633e+02,4.868e+02,1.143e+04
20.4,1.268e+04,3.571e+02,5.283e+02,1.356e+04
21.8,1.530e+04,3.444e+02,5.824e+02,1.623e+04
23.3,1.851e+04,3.454e+02,5.568e+02,1.941e+04
24.8,2.188e+04,3.276e+02,5.877e+02,2.280e+04
26.2,2.460e+04,3.391e+02,5.967e+02,2.554e+04
27.7,2.653e+04,3.505e+02,5.817e+02,2.746e+04
29.1,2.869e+04,3.758e+02,7.578e+02,2.982e+04
30.6,3.152e+04,3.439e+02,7.142e+02,3.257e+04
32.0,3.597e+04,3.362e+02,5.350e+02,3.684e+04
33.5,4.066e+04,3.388e+02,4.515e+02,4.145e+04
35.0,4.401e+04,3.510e+02,4.807e+02,4.484e+04
36.4,4.753e+04,3.206e+02,4.848e+02,4.834e+04
37.9,5.202e+04,3.267e+02,5.259e+02,5.287e+04
39.3,5.742e+04,3.315e+02,5.422e+02,5.829e+04
40.8,6.352e+04,3.066e+02,5.306e+02,6.436e+04
42.2,7.106e+04,3.242e+02,5.658e+02,7.195e+04
43.7,8.050e+04,3.801e+02,6.988e+02,8.158e+04
45.2,9.270e+04,3.776e+02,7.779e+02,9.385e+04
46.6,1.052e+05,3.598e+02,8.412e+02,1.064e+05
48.1,1.161e+05,3.682e+02,8.661e+02,1.173e+05
49.5,1.230e+05,3.487e+02,8.926e+02,1.242e+05
51.0,1.293e+05,3.825e+02,8.171e+02,1.305e+05
52.4,1.366e+05,4.275e+02,7.967e+02,1.378e+05
53.9,1.485e+05,4.769e+02,8.485e+02,1.499e+05
55.4,1.643e+05,4.764e+02,8.769e+02,1.656e+05
56.8,1.897e+05,4.359e+02,1.022e+03,1.911e+05
58.3,2.191e+05,4.376e+02,1.338e+03,2.208e+05
59.7,2.474e+05,4.314e+02,1.349e+03,2.492e+05
61.2,2.912e+05,4.557e+02,1.144e+03,2.928e+05
62.6,3.564e+05,5.874e+02,1.223e+03,3.582e+05
64.1,4.433e+05,6.763e+02,1.296e+03,4.453e+05
65.5,5.540e+05,7.892e+02,1.354e+03,5.561e+05
67.0,6.758e+05,1.376e+03,1.681e+03,6.789e+05
68.5,8.173e+05,2.717e+03,2.161e+03,8.222e+05
69.9,9.235e+05,4.983e+03,2.822e+03,9.313e+05
71.4,1.041e+06,7.698e+03,3.750e+03,1.052e+06
