freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.660e+01,3.787e+02,1.136e+02,5.789e+02
1.6,3.641e+02,5.494e+02,4.057e+02,1.319e+03
3.1,4.347e+02,5.112e+02,4.104e+02,1.356e+03
4.7,4.254e+02,8.323e+02,4.135e+02,1.671e+03
6.3,4.493e+02,1.753e+03,4.083e+02,2.610e+03
7.8,4.380e+02,2.412e+03,4.186e+02,3.269e+03
9.4,4.376e+02,3.153e+03,4.670e+02,4.058e+03
11.0,4.253e+02,4.196e+03,4.647e+02,5.086e+03
12.5,4.464e+02,5.356e+03,4.151e+02,6.217e+03
14.1,4.424e+02,6.991e+03,4.159e+02,7.850e+03
15.6,4.941e+02,9.022e+03,4.306e+02,9.946e+03
17.2,4.860e+02,1.101e+04,4.777e+02,1.197e+04
18.8,4.470e+02,1.343e+04,4.544e+02,1.433e+04
20.3,4.413e+02,1.609e+04,4.502e+02,1.698e+04
21.9,4.608e+02,1.901e+04,4.658e+02,1.994e+04
23.5,4.629e+02,2.198e+04,5.052e+02,2.295e+04
25.0,4.538e+02,2.613e+04,4.941e+02,2.707e+04
26.6,4.613e+02,3.046e+04,5.423e+02,3.147e+04
28.2,4.779e+02,3.484e+04,6.604e+02,3.598e+04
29.7,5.414e+02,4.039e+04,7.905e+02,4.172e+04
31.3,5.922e+02,4.777e+04,9.194e+02,4.929e+04
32.9,6.606e+02,5.761e+04,1.082e+03,5.935e+04
34.4,6.637e+02,7.069e+04,1.312e+03,7.267e+04
36.0,6.995e+02,8.562e+04,1.529e+03,8.784e+04
37.5,7.843e+02,1.053e+05,1.883e+03,1.079e+05
39.1,9.803e+02,1.285e+05,2.379e+03,1.319e+05
40.7,2.991e+03,1.548e+05,3.659e+03,1.615e+05
42.2,8.824e+03,1.991e+05,7.268e+03,2.152e+05
43.8,1.699e+04,2.705e+05,1.332e+04,3.008e+05
45.4,2.321e+04,3.833e+05,2.160e+04,4.281e+05
46.9,2.405e+04,5.278e+05,2.887e+04,5.807e+05
48.5,2.298e+04,6.258e+05,3.445e+04,6.832e+05
50.1,2.313e+04,6.231e+05,3.920e+04,6.855e+05
51.6,2.149e+04,5.627e+05,4.103e+04,6.252e+05
53.2,1.719e+04,5.817e+05,4.347e+04,6.424e+05
54.8,1.523e+04,6.326e+05,5.479e+04,7.026e+05
56.3,1.665e+04,6.016e+05,5.958e+04,6.778e+05
57.9,1.154e+04,4.855e+05,5.329e+04,5.503e+05
59.4,9.148e+03,3.562e+05,5.177e+04,4.171e+05
61.0,1.012e+04,2.777e+05,4.926e+04,3.371e+05
62.6,9.582e+03,2.181e+05,4.213e+04,2.698e+05
64.1,7.926e+03,1.673e+05,3.431e+04,2.096e+05
65.7,6.348e+03,1.250e+05,2.871e+04,1.601e+05
67.3,5.181e+03,1.007e+05,2.683e+04,1.327e+05
68.8,4.465e+03,8.584e+04,2.611e+04,1.164e+05
70.4,4.221e+03,7.199e+04,2.482e+04,1.010e+05
72.0,3.389e+03,5.871e+04,2.282e+04,8.493e+04
73.5,2.871e+03,4.891e+04,2.183e+04,7.361e+04
75.1,2.991e+03,4.191e+04,2.112e+04,6.602e+04
76.7,3.439e+03,3.758e+04,2.113e+04,6.214e+04
78.2,3.713e+03,3.494e+04,2.028e+04,5.893e+04
79.8,4.022e+03,3.192e+04,1.979e+04,5.574e+04
81.3,4.273e+03,2.815e+04,1.802e+04,5.044e+04
82.9,4.372e+03,2.461e+04,1.598e+04,4.497e+04
84.5,4.212e+03,2.088e+04,1.316e+04,3.825e+04
86.0,3.952e+03,1.724e+04,9.964e+03,3.116e+04
87.6,3.601e+03,1.451e+04,7.633e+03,2.575e+04
89.2,3.795e+03,1.211e+04,7.026e+03,2.293e+04
90.7,4.500e+03,9.817e+03,6.809e+03,2.113e+04
92.3,5.318e+03,7.869e+03,6.801e+03,1.999e+04
93.9,5.661e+03,6.354e+03,7.231e+03,1.925e+04
95.4,6.183e+03,5.276e+03,7.865e+03,1.932e+04
97.0,6.343e+03,5.208e+03,8.466e+03,2.002e+04
98.6,6.352e+03,5.874e+03,8.774e+03,2.100e+04
100.1,6.483e+03,5.774e+03,8.923e+03,2.118e+04
101.7,7.116e+03,6.349e+03,1.066e+04,2.413e+04
103.2,8.320e+03,8.039e+03,1.400e+04,3.035e+04
104.8,1.067e+04,9.213e+03,1.826e+04,3.815e+04
106.4,1.320e+04,8.246e+03,2.324e+04,4.469e+04
107.9,1.336e+04,7.024e+03,2.856e+04,4.894e+04
109.5,1.311e+04,6.046e+03,3.469e+04,5.384e+04
111.1,1.156e+04,5.308e+03,3.739e+04,5.425e+04
112.6,1.131e+04,5.049e+03,4.277e+04,5.912e+04
114.2,1.448e+04,5.435e+03,5.109e+04,7.100e+04
115.8,1.815e+04,6.392e+03,5.637e+04,8.091e+04
117.3,2.066e+04,8.011e+03,5.844e+04,8.711e+04
118.9,2.323e+04,1.074e+04,6.254e+04,9.651e+04
120.5,3.185e+04,2.075e+04,8.107e+04,1.337e+05
122.0,3.531e+04,2.630e+04,7.990e+04,1.415e+05
123.6,3.486e+04,2.880e+04,6.165e+04,1.253e+05
125.1,3.887e+04,3.956e+04,5.430e+04,1.327e+05
126.7,4.406e+04,5.285e+04,5.072e+04,1.476e+05
128.3,5.272e+04,7.371e+04,5.223e+04,1.787e+05
129.8,5.829e+04,8.950e+04,5.422e+04,2.020e+05
131.4,5.301e+04,8.447e+04,5.234e+04,1.898e+05
133.0,3.368e+04,5.818e+04,3.642e+04,1.283e+05
134.5,1.399e+04,3.208e+04,1.843e+04,6.450e+04
136.1,1.360e+04,3.510e+04,1.828e+04,6.698e+04
137.7,1.587e+04,4.160e+04,1.799e+04,7.546e+04
139.2,1.831e+04,4.734e+04,1.886e+04,8.451e+04
140.8,2.089e+04,5.581e+04,2.130e+04,9.801e+04
