freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.532e+01,8.980e+02,1.246e+02,1.088e+03
1.6,2.684e+02,7.829e+02,5.395e+02,1.591e+03
3.1,3.282e+02,3.870e+02,6.583e+02,1.373e+03
4.7,3.386e+02,9.412e+02,7.047e+02,1.985e+03
6.2,3.350e+02,2.467e+03,6.583e+02,3.460e+03
7.8,3.230e+02,3.867e+03,6.389e+02,4.829e+03
9.3,3.286e+02,5.435e+03,6.430e+02,6.407e+03
10.9,3.346e+02,7.472e+03,6.581e+02,8.464e+03
12.4,3.296e+02,1.023e+04,6.570e+02,1.122e+04
14.0,3.476e+02,1.407e+04,6.776e+02,1.510e+04
15.6,3.353e+02,1.891e+04,6.384e+02,1.988e+04
17.1,3.195e+02,2.335e+04,6.232e+02,2.429e+04
18.7,3.422e+02,2.836e+04,6.328e+02,2.933e+04
20.2,3.533e+02,3.491e+04,6.196e+02,3.588e+04
21.8,3.546e+02,4.335e+04,6.584e+02,4.436e+04
23.3,3.174e+02,5.258e+04,6.572e+02,5.355e+04
24.9,3.071e+02,6.401e+04,6.534e+02,6.497e+04
26.5,3.380e+02,7.898e+04,6.495e+02,7.997e+04
28.0,3.573e+02,9.821e+04,6.332e+02,9.920e+04
29.6,3.524e+02,1.248e+05,6.769e+02,1.258e+05
31.1,3.435e+02,1.562e+05,6.922e+02,1.572e+05
32.7,3.576e+02,1.959e+05,6.704e+02,1.969e+05
34.2,4.086e+02,2.595e+05,7.120e+02,2.607e+05
35.8,4.953e+02,3.468e+05,7.885e+02,3.481e+05
37.3,5.552e+02,4.810e+05,8.322e+02,4.824e+05
38.9,6.029e+02,7.090e+05,8.170e+02,7.105e+05
40.5,9.054e+02,1.141e+06,8.808e+02,1.143e+06
42.0,2.605e+03,1.845e+06,1.760e+03,1.850e+06
43.6,4.427e+03,2.149e+06,3.609e+03,2.158e+06
45.1,3.866e+03,1.918e+06,5.935e+03,1.928e+06
46.7,2.747e+03,1.614e+06,8.838e+03,1.626e+06
48.2,1.623e+03,1.402e+06,1.036e+04,1.414e+06
49.8,8.278e+02,1.216e+06,9.118e+03,1.226e+06
51.3,4.722e+02,9.866e+05,5.388e+03,9.924e+05
52.9,5.158e+02,7.854e+05,2.239e+03,7.881e+05
54.5,6.587e+02,6.233e+05,8.895e+02,6.248e+05
56.0,6.626e+02,4.645e+05,9.525e+02,4.661e+05
57.6,8.178e+02,3.414e+05,1.624e+03,3.439e+05
59.1,1.148e+03,2.753e+05,2.660e+03,2.791e+05
60.7,1.260e+03,2.459e+05,2.656e+03,2.499e+05
62.2,1.102e+03,2.324e+05,1.535e+03,2.351e+05
63.8,9.691e+02,2.221e+05,1.382e+03,2.245e+05
65.3,1.018e+03,2.176e+05,2.628e+03,2.213e+05
66.9,1.551e+03,2.046e+05,5.427e+03,2.115e+05
68.5,2.812e+03,1.813e+05,9.758e+03,1.939e+05
70.0,4.714e+03,1.552e+05,1.724e+04,1.772e+05
71.6,7.736e+03,1.173e+05,3.501e+04,1.600e+05
73.1,1.215e+04,8.349e+04,5.698e+04,1.526e+05
74.7,1.645e+04,7.606e+04,6.282e+04,1.553e+05
76.2,2.099e+04,7.372e+04,6.280e+04,1.575e+05
77.8,2.413e+04,6.187e+04,7.013e+04,1.561e+05
79.4,2.456e+04,5.112e+04,7.651e+04,1.522e+05
80.9,2.456e+04,4.508e+04,7.491e+04,1.445e+05
82.5,2.777e+04,4.459e+04,7.819e+04,1.506e+05
84.0,3.474e+04,5.257e+04,8.829e+04,1.756e+05
85.6,4.015e+04,6.010e+04,1.013e+05,2.016e+05
87.1,3.569e+04,7.721e+04,1.229e+05,2.358e+05
88.7,2.250e+04,1.342e+05,1.581e+05,3.148e+05
90.2,1.236e+04,2.210e+05,1.849e+05,4.183e+05
91.8,8.700e+03,2.968e+05,1.881e+05,4.936e+05
93.4,6.806e+03,3.665e+05,1.873e+05,5.606e+05
94.9,6.026e+03,4.033e+05,1.729e+05,5.822e+05
96.5,7.163e+03,4.008e+05,1.473e+05,5.552e+05
98.0,1.021e+04,3.633e+05,1.144e+05,4.879e+05
99.6,1.401e+04,2.923e+05,8.033e+04,3.866e+05
101.1,1.785e+04,2.066e+05,4.954e+04,2.740e+05
102.7,2.138e+04,1.471e+05,3.139e+04,1.998e+05
104.2,2.540e+04,1.202e+05,2.434e+04,1.699e+05
105.8,3.042e+04,1.225e+05,2.515e+04,1.781e+05
107.4,3.414e+04,1.700e+05,3.292e+04,2.370e+05
108.9,3.026e+04,2.084e+05,3.468e+04,2.734e+05
110.5,2.240e+04,2.013e+05,2.919e+04,2.529e+05
112.0,1.694e+04,1.653e+05,2.207e+04,2.043e+05
113.6,1.343e+04,1.288e+05,1.830e+04,1.605e+05
115.1,1.088e+04,1.072e+05,1.645e+04,1.345e+05
116.7,8.977e+03,1.071e+05,1.647e+04,1.325e+05
118.3,7.750e+03,1.098e+05,1.631e+04,1.338e+05
119.8,7.696e+03,1.077e+05,1.593e+04,1.313e+05
121.4,9.401e+03,1.046e+05,1.540e+04,1.294e+05
122.9,1.357e+04,9.948e+04,1.444e+04,1.275e+05
124.5,2.094e+04,9.106e+04,1.419e+04,1.262e+05
126.0,2.690e+04,7.976e+04,1.359e+04,1.202e+05
127.6,3.043e+04,7.408e+04,1.290e+04,1.174e+05
129.1,3.380e+04,8.184e+04,1.295e+04,1.286e+05
130.7,3.524e+04,9.259e+04,1.401e+04,1.418e+05
132.3,3.234e+04,8.394e+04,1.359e+04,1.299e+05
133.8,1.140e+04,2.871e+04,5.400e+03,4.551e+04
135.4,1.880e+03,3.488e+03,1.289e+03,6.657e+03
136.9,1.575e+03,2.805e+03,1.177e+03,5.557e+03
138.5,1.676e+03,2.808e+03,1.146e+03,5.630e+03
140.0,1.718e+03,2.842e+03,1.166e+03,5.727e+03
141.6,1.690e+03,3.195e+03,1.280e+03,6.164e+03
143.1,1.791e+03,3.734e+03,1.364e+03,6.888e+03
144.7,1.831e+03,4.307e+03,1.427e+03,7.565e+03
146.3,1.510e+03,4.890e+03,1.584e+03,7.983e+03
147.8,1.374e+03,5.619e+03,1.683e+03,8.676e+03
149.4,1.453e+03,6.393e+03,1.662e+03,9.507e+03
150.9,1.671e+03,7.174e+03,1.607e+03,1.045e+04
152.5,1.886e+03,8.059e+03,1.524e+03,1.147e+04
154.0,2.083e+03,8.600e+03,1.604e+03,1.229e+04
155.6,2.153e+03,9.283e+03,1.878e+03,1.331e+04
157.1,1.956e+03,9.348e+03,1.998e+03,1.330e+04
158.7,1.762e+03,9.875e+03,2.110e+03,1.375e+04
160.3,1.526e+03,1.042e+04,2.182e+03,1.413e+04
161.8,1.189e+03,1.024e+04,2.098e+03,1.353e+04
163.4,1.240e+03,1.029e+04,1.906e+03,1.344e+04
164.9,1.513e+03,9.767e+03,1.708e+03,1.299e+04
166.5,2.038e+03,9.951e+03,1.764e+03,1.375e+04
168.0,2.209e+03,1.148e+04,2.187e+03,1.587e+04
169.6,2.314e+03,1.120e+04,2.209e+03,1.572e+04
171.2,2.077e+03,1.088e+04,1.994e+03,1.495e+04
172.7,2.068e+03,1.085e+04,1.878e+03,1.480e+04
174.3,2.427e+03,1.084e+04,1.955e+03,1.522e+04
175.8,2.549e+03,1.096e+04,1.934e+03,1.544e+04
177.4,2.672e+03,1.181e+04,1.960e+03,1.644e+04
178.9,2.788e+03,1.203e+04,1.856e+03,1.667e+04
180.5,2.666e+03,1.237e+04,1.727e+03,1.677e+04
182.0,2.416e+03,1.421e+04,1.900e+03,1.853e+04
183.6,2.565e+03,1.436e+04,1.998e+03,1.892e+04
185.2,2.915e+03,1.390e+04,1.952e+03,1.876e+04
186.7,3.070e+03,1.416e+04,1.940e+03,1.917e+04
188.3,3.546e+03,1.571e+04,1.979e+03,2.123e+04
189.8,4.210e+03,1.621e+04,2.023e+03,2.244e+04
191.4,5.499e+03,1.652e+04,1.979e+03,2.400e+04
192.9,7.104e+03,1.720e+04,2.023e+03,2.633e+04
194.5,8.865e+03,1.843e+04,1.957e+03,2.925e+04
196.0,1.065e+04,1.995e+04,1.807e+03,3.241e+04
197.6,1.183e+04,2.092e+04,1.687e+03,3.444e+04
199.2,1.197e+04,2.197e+04,1.704e+03,3.565e+04
