freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.720e+00,1.253e+01,4.040e+02,4.223e+02
1.5,1.416e+01,1.957e+01,2.397e+02,2.735e+02
3.0,1.430e+01,1.556e+01,2.681e+01,5.666e+01
4.4,1.407e+01,1.481e+01,2.544e+02,2.833e+02
5.9,1.530e+01,1.515e+01,1.126e+03,1.156e+03
7.4,1.558e+01,1.524e+01,1.722e+03,1.753e+03
8.9,1.341e+01,1.542e+01,2.484e+03,2.513e+03
10.3,1.333e+01,1.773e+01,3.493e+03,3.524e+03
11.8,1.416e+01,1.762e+01,4.638e+03,4.670e+03
13.3,1.636e+01,1.782e+01,6.137e+03,6.171e+03
14.8,1.600e+01,1.778e+01,8.019e+03,8.053e+03
16.3,1.628e+01,1.852e+01,1.042e+04,1.046e+04
17.7,1.560e+01,1.684e+01,1.283e+04,1.286e+04
19.2,1.439e+01,2.242e+01,1.514e+04,1.518e+04
20.7,1.428e+01,7.695e+01,1.753e+04,1.762e+04
22.2,1.462e+01,5.452e+01,2.017e+04,2.024e+04
23.6,1.649e+01,2.059e+01,2.378e+04,2.381e+04
25.1,1.600e+01,2.282e+01,2.877e+04,2.881e+04
26.6,1.680e+01,2.504e+01,3.503e+04,3.507e+04
28.1,1.817e+01,2.521e+01,4.278e+04,4.282e+04
29.5,1.653e+01,2.762e+01,5.263e+04,5.268e+04
31.0,1.546e+01,3.085e+01,6.500e+04,6.505e+04
32.5,1.833e+01,4.006e+01,8.129e+04,8.135e+04
34.0,1.892e+01,4.908e+01,1.035e+05,1.036e+05
35.5,1.964e+01,7.125e+01,1.348e+05,1.348e+05
36.9,1.980e+01,9.305e+01,1.825e+05,1.826e+05
38.4,2.773e+01,1.169e+02,2.639e+05,2.641e+05
39.9,3.778e+01,1.422e+02,3.989e+05,3.991e+05
41.4,5.218e+01,1.930e+02,6.381e+05,6.384e+05
42.8,7.162e+01,2.947e+02,1.067e+06,1.068e+06
44.3,5.996e+01,2.871e+02,1.504e+06,1.504e+06
45.8,3.615e+01,2.540e+02,1.374e+06,1.375e+06
47.3,4.034e+01,5.835e+02,8.739e+05,8.746e+05
48.8,6.562e+01,1.360e+03,5.343e+05,5.357e+05
50.2,8.432e+01,2.925e+03,4.019e+05,4.049e+05
51.7,1.174e+02,4.583e+03,3.500e+05,3.547e+05
53.2,1.827e+02,5.088e+03,3.139e+05,3.191e+05
54.7,2.466e+02,4.549e+03,2.855e+05,2.903e+05
56.1,2.197e+02,3.582e+03,2.690e+05,2.728e+05
57.6,1.791e+02,3.136e+03,2.583e+05,2.616e+05
59.1,1.355e+02,2.962e+03,2.433e+05,2.464e+05
60.6,5.285e+01,2.761e+03,2.234e+05,2.262e+05
62.0,9.691e+01,2.407e+03,2.057e+05,2.082e+05
63.5,1.775e+02,2.329e+03,1.832e+05,1.857e+05
65.0,1.563e+02,2.677e+03,1.638e+05,1.667e+05
66.5,8.656e+01,3.094e+03,1.545e+05,1.577e+05
68.0,7.801e+01,3.257e+03,1.495e+05,1.528e+05
69.4,1.195e+02,3.074e+03,1.423e+05,1.455e+05
70.9,1.279e+02,3.212e+03,1.392e+05,1.426e+05
72.4,7.854e+01,4.029e+03,1.390e+05,1.431e+05
73.9,5.014e+01,5.372e+03,1.368e+05,1.422e+05
75.3,1.078e+02,5.945e+03,1.317e+05,1.378e+05
76.8,2.800e+02,6.040e+03,1.237e+05,1.300e+05
78.3,5.590e+02,7.507e+03,1.123e+05,1.203e+05
79.8,7.189e+02,8.440e+03,1.027e+05,1.119e+05
81.3,7.483e+02,8.411e+03,9.379e+04,1.030e+05
82.7,8.495e+02,8.026e+03,8.526e+04,9.413e+04
84.2,8.408e+02,8.123e+03,7.785e+04,8.681e+04
85.7,8.492e+02,8.331e+03,7.161e+04,8.079e+04
87.2,1.039e+03,8.490e+03,6.745e+04,7.698e+04
88.6,1.214e+03,8.545e+03,6.393e+04,7.369e+04
90.1,1.394e+03,8.826e+03,6.012e+04,7.034e+04
91.6,1.760e+03,9.216e+03,5.885e+04,6.982e+04
93.1,1.877e+03,9.650e+03,5.766e+04,6.919e+04
94.5,1.820e+03,9.983e+03,5.713e+04,6.893e+04
96.0,1.712e+03,9.978e+03,5.811e+04,6.980e+04
97.5,1.621e+03,1.021e+04,6.222e+04,7.405e+04
99.0,1.541e+03,1.062e+04,6.664e+04,7.879e+04
