freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.919e+02,6.192e+00,6.512e+00,4.046e+02
1.6,2.270e+02,1.437e+01,2.237e+01,2.638e+02
3.1,2.412e+01,1.591e+01,2.542e+01,6.546e+01
4.7,3.631e+02,1.317e+01,2.540e+01,4.017e+02
6.3,1.231e+03,1.435e+01,2.683e+01,1.273e+03
7.8,1.925e+03,1.521e+01,2.789e+01,1.968e+03
9.4,2.594e+03,1.465e+01,2.599e+01,2.635e+03
11.0,3.387e+03,1.326e+01,2.426e+01,3.425e+03
12.5,4.290e+03,1.342e+01,2.328e+01,4.326e+03
14.1,5.303e+03,1.406e+01,2.373e+01,5.341e+03
15.7,6.533e+03,1.525e+01,2.511e+01,6.573e+03
17.3,7.972e+03,1.595e+01,2.568e+01,8.014e+03
18.8,9.557e+03,1.817e+01,2.449e+01,9.599e+03
20.4,1.165e+04,4.537e+01,2.827e+01,1.172e+04
22.0,1.495e+04,3.233e+01,2.700e+01,1.501e+04
23.5,1.930e+04,1.586e+01,2.403e+01,1.934e+04
25.1,2.317e+04,1.678e+01,2.384e+01,2.321e+04
26.7,2.609e+04,1.714e+01,2.316e+01,2.613e+04
28.2,2.864e+04,1.855e+01,2.400e+01,2.868e+04
29.8,3.117e+04,1.909e+01,2.531e+01,3.122e+04
31.4,3.405e+04,1.999e+01,2.526e+01,3.409e+04
32.9,3.923e+04,2.309e+01,2.597e+01,3.928e+04
34.5,4.676e+04,2.681e+01,2.552e+01,4.681e+04
36.1,5.511e+04,2.874e+01,2.239e+01,5.517e+04
37.6,6.363e+04,3.217e+01,2.336e+01,6.368e+04
39.2,7.232e+04,3.895e+01,2.452e+01,7.238e+04
40.8,8.221e+04,4.835e+01,2.416e+01,8.229e+04
42.4,9.281e+04,5.342e+01,2.579e+01,9.289e+04
43.9,1.050e+05,5.679e+01,3.277e+01,1.050e+05
45.5,1.195e+05,6.517e+01,4.316e+01,1.196e+05
47.1,1.371e+05,7.736e+01,5.744e+01,1.373e+05
48.6,1.626e+05,9.791e+01,7.450e+01,1.628e+05
50.2,1.959e+05,1.023e+02,1.165e+02,1.961e+05
51.8,2.308e+05,8.007e+01,1.764e+02,2.311e+05
53.3,2.625e+05,6.931e+01,2.335e+02,2.628e+05
54.9,2.857e+05,1.732e+02,2.370e+02,2.861e+05
56.5,3.296e+05,3.701e+02,1.826e+02,3.301e+05
58.0,3.909e+05,5.037e+02,3.527e+02,3.917e+05
59.6,4.348e+05,4.884e+02,5.903e+02,4.359e+05
