freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.588e+02,8.925e+00,8.751e+00,3.764e+02
1.5,2.109e+02,1.820e+01,2.547e+01,2.546e+02
3.0,1.673e+01,1.782e+01,2.725e+01,6.180e+01
4.4,2.415e+02,1.719e+01,2.692e+01,2.856e+02
5.9,1.047e+03,1.769e+01,2.630e+01,1.091e+03
7.4,1.712e+03,2.009e+01,2.704e+01,1.759e+03
8.9,2.369e+03,2.063e+01,2.443e+01,2.414e+03
10.4,3.078e+03,2.085e+01,2.338e+01,3.122e+03
11.9,3.907e+03,2.131e+01,2.346e+01,3.951e+03
13.3,4.867e+03,2.110e+01,2.720e+01,4.916e+03
14.8,5.920e+03,2.071e+01,2.782e+01,5.969e+03
16.3,7.127e+03,2.262e+01,2.635e+01,7.176e+03
17.8,8.479e+03,2.638e+01,2.468e+01,8.530e+03
19.3,9.973e+03,3.828e+01,2.647e+01,1.004e+04
20.8,1.174e+04,8.378e+01,2.971e+01,1.186e+04
22.2,1.446e+04,4.355e+01,2.685e+01,1.453e+04
23.7,1.787e+04,2.771e+01,2.587e+01,1.792e+04
25.2,2.108e+04,3.151e+01,2.581e+01,2.113e+04
26.7,2.371e+04,3.554e+01,2.543e+01,2.377e+04
28.2,2.611e+04,3.934e+01,2.482e+01,2.618e+04
29.7,2.863e+04,3.829e+01,2.296e+01,2.870e+04
31.1,3.124e+04,4.108e+01,2.446e+01,3.131e+04
32.6,3.515e+04,4.437e+01,2.514e+01,3.522e+04
34.1,4.074e+04,5.048e+01,2.444e+01,4.081e+04
35.6,4.752e+04,6.109e+01,2.540e+01,4.760e+04
37.1,5.455e+04,6.919e+01,2.679e+01,5.465e+04
38.6,6.146e+04,7.427e+01,2.668e+01,6.156e+04
40.0,6.920e+04,8.707e+01,2.811e+01,6.932e+04
41.5,7.815e+04,1.015e+02,3.125e+01,7.828e+04
43.0,8.810e+04,1.142e+02,3.496e+01,8.825e+04
44.5,1.001e+05,1.380e+02,3.577e+01,1.003e+05
46.0,1.140e+05,1.657e+02,3.738e+01,1.142e+05
47.5,1.307e+05,2.260e+02,4.325e+01,1.310e+05
48.9,1.527e+05,2.644e+02,4.919e+01,1.530e+05
50.4,1.810e+05,2.802e+02,7.738e+01,1.813e+05
51.9,2.164e+05,2.929e+02,1.221e+02,2.168e+05
53.4,2.481e+05,3.019e+02,1.718e+02,2.485e+05
54.9,2.653e+05,4.181e+02,1.782e+02,2.659e+05
56.4,2.972e+05,6.613e+02,1.464e+02,2.980e+05
57.8,3.410e+05,8.276e+02,2.850e+02,3.421e+05
59.3,3.733e+05,7.719e+02,4.498e+02,3.745e+05
60.8,4.016e+05,9.875e+02,5.863e+02,4.032e+05
62.3,4.773e+05,1.343e+03,7.302e+02,4.794e+05
63.8,6.182e+05,1.672e+03,1.032e+03,6.209e+05
