freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.781e+02,5.258e+00,4.876e+00,3.882e+02
1.6,2.171e+02,1.161e+01,1.796e+01,2.467e+02
3.1,2.225e+01,1.052e+01,2.078e+01,5.355e+01
4.7,3.417e+02,1.022e+01,2.150e+01,3.734e+02
6.3,1.166e+03,1.107e+01,2.017e+01,1.198e+03
7.8,1.825e+03,1.149e+01,2.103e+01,1.858e+03
9.4,2.520e+03,1.208e+01,2.066e+01,2.553e+03
11.0,3.391e+03,1.276e+01,2.057e+01,3.425e+03
12.5,4.338e+03,1.291e+01,1.992e+01,4.371e+03
14.1,5.312e+03,1.306e+01,2.053e+01,5.346e+03
15.7,6.416e+03,1.326e+01,2.224e+01,6.452e+03
17.2,7.672e+03,1.373e+01,1.948e+01,7.706e+03
18.8,9.111e+03,1.925e+01,1.933e+01,9.149e+03
20.4,1.078e+04,5.962e+01,2.398e+01,1.087e+04
21.9,1.344e+04,5.335e+01,2.511e+01,1.352e+04
23.5,1.701e+04,1.623e+01,2.224e+01,1.705e+04
25.0,2.057e+04,1.567e+01,2.037e+01,2.061e+04
26.6,2.362e+04,1.741e+01,2.114e+01,2.366e+04
28.2,2.615e+04,1.915e+01,2.119e+01,2.619e+04
29.7,2.840e+04,1.863e+01,2.084e+01,2.844e+04
31.3,3.076e+04,1.962e+01,2.097e+01,3.080e+04
32.9,3.458e+04,2.092e+01,2.220e+01,3.462e+04
34.4,4.054e+04,2.607e+01,2.056e+01,4.059e+04
36.0,4.752e+04,2.908e+01,2.097e+01,4.757e+04
37.6,5.529e+04,3.484e+01,2.301e+01,5.534e+04
39.1,6.284e+04,4.105e+01,2.293e+01,6.291e+04
40.7,7.101e+04,4.809e+01,2.175e+01,7.108e+04
42.3,8.007e+04,4.691e+01,2.295e+01,8.014e+04
43.8,8.969e+04,4.861e+01,2.477e+01,8.976e+04
45.4,1.011e+05,5.748e+01,2.771e+01,1.012e+05
47.0,1.153e+05,7.254e+01,2.657e+01,1.154e+05
48.5,1.348e+05,9.241e+01,3.288e+01,1.349e+05
50.1,1.595e+05,1.106e+02,4.670e+01,1.596e+05
51.7,1.884e+05,9.974e+01,7.203e+01,1.886e+05
53.2,2.147e+05,8.297e+01,1.118e+02,2.148e+05
54.8,2.287e+05,1.213e+02,1.269e+02,2.290e+05
56.4,2.562e+05,2.096e+02,1.031e+02,2.565e+05
57.9,3.002e+05,3.778e+02,1.762e+02,3.007e+05
59.5,3.336e+05,3.600e+02,3.374e+02,3.343e+05
61.1,3.676e+05,3.391e+02,4.085e+02,3.684e+05
62.6,4.600e+05,4.187e+02,4.952e+02,4.609e+05
64.2,6.355e+05,6.530e+02,8.097e+02,6.370e+05
65.8,8.585e+05,1.601e+03,1.428e+03,8.615e+05
67.3,9.641e+05,4.901e+03,2.396e+03,9.714e+05
68.9,9.469e+05,9.585e+03,4.143e+03,9.606e+05
70.5,9.256e+05,1.332e+04,6.734e+03,9.457e+05
72.0,9.142e+05,1.478e+04,9.237e+03,9.382e+05
73.6,8.807e+05,1.171e+04,9.817e+03,9.022e+05
75.1,8.206e+05,6.740e+03,9.983e+03,8.373e+05
76.7,7.761e+05,4.675e+03,1.178e+04,7.926e+05
78.3,7.429e+05,4.087e+03,1.042e+04,7.574e+05
79.8,6.910e+05,4.109e+03,7.421e+03,7.025e+05
81.4,6.063e+05,4.068e+03,5.375e+03,6.158e+05
83.0,5.084e+05,3.489e+03,4.054e+03,5.159e+05
84.5,3.977e+05,2.541e+03,3.430e+03,4.036e+05
86.1,2.950e+05,1.674e+03,3.034e+03,2.997e+05
87.7,2.149e+05,1.151e+03,2.370e+03,2.184e+05
89.2,1.522e+05,8.600e+02,1.886e+03,1.550e+05
90.8,1.065e+05,7.250e+02,1.674e+03,1.089e+05
92.4,7.695e+04,6.357e+02,1.653e+03,7.923e+04
93.9,5.949e+04,6.104e+02,1.683e+03,6.178e+04
95.5,5.100e+04,6.151e+02,1.677e+03,5.329e+04
97.1,5.762e+04,5.769e+02,1.531e+03,5.973e+04
98.6,8.004e+04,4.430e+02,1.074e+03,8.155e+04
100.2,1.061e+05,4.765e+02,1.303e+03,1.078e+05
101.8,1.184e+05,6.447e+02,1.986e+03,1.211e+05
103.3,1.195e+05,1.011e+03,2.635e+03,1.231e+05
104.9,1.184e+05,1.315e+03,2.910e+03,1.226e+05
106.5,1.211e+05,1.769e+03,3.328e+03,1.262e+05
108.0,1.339e+05,3.175e+03,4.385e+03,1.415e+05
109.6,1.548e+05,4.486e+03,5.130e+03,1.645e+05
111.2,1.848e+05,5.825e+03,6.169e+03,1.968e+05
112.7,1.979e+05,7.325e+03,6.889e+03,2.121e+05
114.3,1.969e+05,7.144e+03,5.332e+03,2.094e+05
115.9,1.987e+05,5.295e+03,3.075e+03,2.070e+05
117.4,2.035e+05,3.750e+03,2.062e+03,2.093e+05
119.0,2.079e+05,2.957e+03,1.801e+03,2.127e+05
120.6,2.030e+05,2.129e+03,1.876e+03,2.070e+05
122.1,2.296e+05,1.389e+03,1.785e+03,2.327e+05
123.7,2.498e+05,1.178e+03,1.563e+03,2.525e+05
125.2,2.520e+05,1.314e+03,1.253e+03,2.545e+05
126.8,2.557e+05,1.841e+03,1.031e+03,2.586e+05
128.4,2.666e+05,2.476e+03,8.354e+02,2.699e+05
129.9,2.715e+05,2.518e+03,6.322e+02,2.747e+05
131.5,2.206e+05,1.701e+03,3.912e+02,2.227e+05
133.1,1.063e+05,1.000e+03,2.251e+02,1.076e+05
134.6,1.729e+04,3.135e+02,1.310e+02,1.773e+04
136.2,1.040e+04,3.461e+02,1.288e+02,1.087e+04
137.8,9.948e+03,3.845e+02,1.318e+02,1.046e+04
139.3,9.823e+03,3.726e+02,1.315e+02,1.033e+04
140.9,9.565e+03,3.000e+02,1.190e+02,9.984e+03
