freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.122e+01,1.417e+02,4.935e+02,6.864e+02
1.6,2.639e+02,7.151e+02,6.058e+02,1.585e+03
3.3,3.269e+02,8.533e+02,5.220e+02,1.702e+03
4.9,3.407e+02,9.100e+02,9.092e+02,2.160e+03
6.5,3.270e+02,8.852e+02,1.808e+03,3.020e+03
8.2,2.949e+02,8.863e+02,2.631e+03,3.812e+03
9.8,3.189e+02,8.674e+02,3.577e+03,4.764e+03
11.4,2.982e+02,8.382e+02,4.947e+03,6.084e+03
13.0,3.024e+02,7.814e+02,6.686e+03,7.770e+03
14.7,3.226e+02,8.181e+02,8.972e+03,1.011e+04
16.3,3.007e+02,8.531e+02,1.184e+04,1.299e+04
17.9,3.241e+02,9.359e+02,1.471e+04,1.597e+04
19.6,3.163e+02,8.917e+02,1.808e+04,1.928e+04
21.2,3.251e+02,9.062e+02,2.246e+04,2.369e+04
22.8,3.247e+02,8.938e+02,2.747e+04,2.869e+04
24.5,3.347e+02,8.913e+02,3.370e+04,3.493e+04
26.1,3.373e+02,9.054e+02,4.100e+04,4.224e+04
27.7,3.524e+02,9.272e+02,5.137e+04,5.265e+04
29.3,3.528e+02,9.256e+02,6.520e+04,6.648e+04
31.0,3.986e+02,9.077e+02,8.293e+04,8.424e+04
32.6,4.917e+02,1.076e+03,9.986e+04,1.014e+05
34.2,4.440e+02,1.584e+03,1.118e+05,1.138e+05
35.9,3.537e+02,2.115e+03,1.405e+05,1.430e+05
37.5,4.016e+02,2.402e+03,1.984e+05,2.012e+05
39.1,4.422e+02,2.173e+03,2.997e+05,3.023e+05
40.8,4.719e+02,2.236e+03,4.579e+05,4.606e+05
42.4,4.568e+02,3.523e+03,5.876e+05,5.916e+05
44.0,6.590e+02,5.039e+03,5.924e+05,5.981e+05
45.6,1.287e+03,5.124e+03,5.992e+05,6.056e+05
47.3,2.766e+03,5.891e+03,6.696e+05,6.783e+05
48.9,4.322e+03,1.024e+04,7.426e+05,7.572e+05
50.5,4.885e+03,1.577e+04,7.549e+05,7.756e+05
52.2,4.392e+03,1.592e+04,6.805e+05,7.008e+05
53.8,2.815e+03,1.281e+04,5.837e+05,5.993e+05
55.4,1.483e+03,1.022e+04,5.167e+05,5.284e+05
57.1,1.379e+03,1.031e+04,4.530e+05,4.647e+05
58.7,1.544e+03,1.188e+04,3.921e+05,4.055e+05
60.3,1.327e+03,9.987e+03,3.565e+05,3.678e+05
61.9,1.682e+03,7.799e+03,3.600e+05,3.695e+05
63.6,3.449e+03,6.902e+03,3.675e+05,3.778e+05
65.2,6.606e+03,5.660e+03,3.601e+05,3.724e+05
66.8,8.983e+03,2.843e+03,3.247e+05,3.365e+05
68.5,8.283e+03,5.102e+03,2.708e+05,2.842e+05
70.1,6.428e+03,1.352e+04,2.199e+05,2.398e+05
71.7,5.302e+03,2.482e+04,1.888e+05,2.189e+05
