freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.244e+03,1.585e+02,1.042e+02,1.507e+03
1.6,1.142e+03,7.929e+02,4.856e+02,2.421e+03
3.1,7.470e+02,9.738e+02,5.874e+02,2.308e+03
4.7,1.407e+03,8.847e+02,5.967e+02,2.889e+03
6.3,2.995e+03,8.241e+02,5.755e+02,4.395e+03
7.9,4.510e+03,8.931e+02,5.668e+02,5.970e+03
9.4,6.284e+03,8.098e+02,5.739e+02,7.668e+03
11.0,8.293e+03,8.338e+02,5.475e+02,9.675e+03
12.6,1.069e+04,8.245e+02,5.592e+02,1.208e+04
14.1,1.336e+04,8.805e+02,5.995e+02,1.484e+04
15.7,1.626e+04,9.013e+02,5.614e+02,1.773e+04
17.3,1.994e+04,8.658e+02,5.824e+02,2.139e+04
18.9,2.409e+04,9.256e+02,5.622e+02,2.558e+04
20.4,2.869e+04,8.724e+02,5.710e+02,3.013e+04
22.0,3.373e+04,8.606e+02,5.967e+02,3.519e+04
23.6,3.996e+04,8.511e+02,6.162e+02,4.143e+04
25.2,4.719e+04,9.470e+02,6.022e+02,4.874e+04
26.7,5.437e+04,9.547e+02,5.790e+02,5.590e+04
28.3,6.248e+04,9.038e+02,5.768e+02,6.396e+04
29.9,7.227e+04,9.471e+02,5.915e+02,7.381e+04
31.4,8.428e+04,8.951e+02,6.233e+02,8.579e+04
33.0,1.007e+05,9.854e+02,6.560e+02,1.024e+05
34.6,1.143e+05,1.077e+03,6.403e+02,1.160e+05
36.2,1.142e+05,1.081e+03,6.286e+02,1.159e+05
37.7,1.171e+05,9.946e+02,5.989e+02,1.187e+05
39.3,1.337e+05,1.095e+03,6.216e+02,1.354e+05
40.9,1.565e+05,1.045e+03,5.918e+02,1.581e+05
42.4,1.842e+05,9.667e+02,5.929e+02,1.857e+05
44.0,2.135e+05,9.742e+02,6.110e+02,2.151e+05
45.6,2.485e+05,1.102e+03,6.383e+02,2.502e+05
47.2,2.902e+05,1.234e+03,7.380e+02,2.922e+05
48.7,3.352e+05,1.322e+03,8.596e+02,3.373e+05
50.3,3.891e+05,1.219e+03,8.550e+02,3.911e+05
51.9,4.631e+05,1.160e+03,7.432e+02,4.650e+05
53.4,5.575e+05,1.112e+03,6.860e+02,5.593e+05
55.0,6.640e+05,1.039e+03,6.483e+02,6.657e+05
56.6,8.205e+05,1.148e+03,7.289e+02,8.224e+05
58.2,1.050e+06,1.440e+03,1.267e+03,1.052e+06
59.7,1.367e+06,1.741e+03,1.592e+03,1.371e+06
61.3,1.808e+06,2.139e+03,1.350e+03,1.811e+06
62.9,2.487e+06,3.020e+03,1.593e+03,2.492e+06
64.5,3.685e+06,4.946e+03,2.558e+03,3.692e+06
66.0,5.411e+06,5.809e+03,3.015e+03,5.420e+06
67.6,6.552e+06,1.117e+04,1.352e+04,6.577e+06
69.2,6.083e+06,2.485e+04,3.823e+04,6.146e+06
70.7,4.717e+06,3.869e+04,6.349e+04,4.819e+06
72.3,3.515e+06,4.987e+04,7.893e+04,3.644e+06
73.9,2.671e+06,5.567e+04,7.862e+04,2.805e+06
75.5,2.129e+06,5.835e+04,6.678e+04,2.254e+06
77.0,1.705e+06,6.302e+04,6.047e+04,1.829e+06
78.6,1.371e+06,8.175e+04,7.642e+04,1.529e+06
80.2,1.067e+06,8.896e+04,7.734e+04,1.234e+06
81.7,8.029e+05,7.825e+04,6.076e+04,9.419e+05
83.3,6.217e+05,6.287e+04,4.576e+04,7.303e+05
84.9,5.123e+05,4.851e+04,3.356e+04,5.944e+05
86.5,4.382e+05,3.524e+04,2.386e+04,4.973e+05
88.0,4.174e+05,3.024e+04,2.516e+04,4.728e+05
89.6,5.286e+05,3.810e+04,3.489e+04,6.016e+05
91.2,7.165e+05,4.762e+04,4.418e+04,8.083e+05
92.7,8.401e+05,4.173e+04,4.185e+04,9.237e+05
94.3,8.773e+05,4.117e+04,4.131e+04,9.598e+05
95.9,1.002e+06,4.575e+04,4.317e+04,1.091e+06
97.5,1.062e+06,4.542e+04,4.052e+04,1.148e+06
99.0,1.010e+06,4.667e+04,3.619e+04,1.093e+06
100.6,8.754e+05,4.400e+04,3.280e+04,9.522e+05
102.2,7.542e+05,4.073e+04,2.971e+04,8.246e+05
103.8,6.507e+05,3.863e+04,2.637e+04,7.157e+05
105.3,5.481e+05,3.690e+04,2.260e+04,6.076e+05
106.9,4.515e+05,3.530e+04,1.895e+04,5.058e+05
108.5,3.881e+05,3.150e+04,1.426e+04,4.339e+05
110.0,3.403e+05,2.251e+04,8.850e+03,3.717e+05
111.6,3.038e+05,1.378e+04,6.049e+03,3.236e+05
113.2,2.969e+05,9.367e+03,4.584e+03,3.108e+05
114.8,3.074e+05,1.007e+04,4.431e+03,3.219e+05
116.3,3.106e+05,8.220e+03,3.993e+03,3.228e+05
117.9,3.171e+05,7.783e+03,5.681e+03,3.306e+05
119.5,3.199e+05,9.295e+03,9.099e+03,3.383e+05
121.0,3.107e+05,1.127e+04,1.159e+04,3.336e+05
122.6,2.901e+05,9.988e+03,8.973e+03,3.090e+05
124.2,2.757e+05,9.399e+03,7.184e+03,2.922e+05
125.8,2.624e+05,1.252e+04,8.469e+03,2.834e+05
127.3,2.482e+05,2.413e+04,1.461e+04,2.869e+05
128.9,2.308e+05,3.969e+04,2.260e+04,2.931e+05
130.5,2.085e+05,6.048e+04,3.342e+04,3.024e+05
132.0,1.854e+05,5.450e+04,3.248e+04,2.723e+05
133.6,1.067e+05,3.235e+04,2.289e+04,1.619e+05
135.2,1.542e+04,1.889e+04,1.482e+04,4.912e+04
136.8,5.065e+03,1.510e+04,1.202e+04,3.218e+04
138.3,5.406e+03,1.232e+04,9.797e+03,2.752e+04
139.9,5.795e+03,1.067e+04,7.818e+03,2.428e+04
141.5,6.456e+03,9.044e+03,5.895e+03,2.140e+04
143.1,7.150e+03,7.167e+03,4.610e+03,1.893e+04
144.6,8.493e+03,6.053e+03,3.858e+03,1.840e+04
146.2,1.062e+04,5.421e+03,3.153e+03,1.920e+04
147.8,1.333e+04,4.916e+03,2.688e+03,2.093e+04
149.3,1.565e+04,4.184e+03,2.182e+03,2.202e+04
150.9,1.974e+04,3.610e+03,1.866e+03,2.522e+04
152.5,2.660e+04,3.910e+03,1.702e+03,3.221e+04
154.1,3.618e+04,5.618e+03,1.592e+03,4.339e+04
155.6,4.921e+04,6.100e+03,1.635e+03,5.694e+04
157.2,6.048e+04,5.880e+03,1.470e+03,6.783e+04
158.8,6.952e+04,6.356e+03,1.526e+03,7.740e+04
160.3,7.977e+04,6.850e+03,1.697e+03,8.832e+04
