freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.307e+02,7.933e+00,8.623e+00,3.472e+02
1.5,1.965e+02,2.049e+01,3.386e+01,2.509e+02
3.0,2.365e+01,2.232e+01,3.623e+01,8.220e+01
4.4,2.409e+02,1.932e+01,3.384e+01,2.941e+02
5.9,1.036e+03,1.963e+01,3.628e+01,1.092e+03
7.4,1.674e+03,2.077e+01,3.523e+01,1.730e+03
8.9,2.306e+03,2.088e+01,3.420e+01,2.361e+03
10.4,3.034e+03,2.376e+01,3.586e+01,3.094e+03
11.8,3.885e+03,2.489e+01,3.666e+01,3.947e+03
13.3,4.831e+03,2.396e+01,3.527e+01,4.890e+03
14.8,5.899e+03,2.446e+01,3.603e+01,5.960e+03
16.3,7.021e+03,2.644e+01,3.555e+01,7.083e+03
17.8,8.220e+03,2.702e+01,3.506e+01,8.282e+03
19.2,9.671e+03,3.659e+01,3.481e+01,9.743e+03
20.7,1.163e+04,8.834e+01,3.473e+01,1.176e+04
22.2,1.444e+04,6.256e+01,3.079e+01,1.453e+04
23.7,1.762e+04,3.178e+01,3.219e+01,1.768e+04
25.1,2.063e+04,3.372e+01,3.634e+01,2.070e+04
26.6,2.333e+04,4.047e+01,3.699e+01,2.341e+04
28.1,2.576e+04,3.846e+01,3.645e+01,2.583e+04
29.6,2.854e+04,3.997e+01,3.488e+01,2.862e+04
31.1,3.185e+04,4.549e+01,3.451e+01,3.193e+04
32.5,3.644e+04,4.990e+01,3.828e+01,3.652e+04
34.0,4.226e+04,6.076e+01,3.780e+01,4.236e+04
35.5,4.829e+04,7.031e+01,3.548e+01,4.839e+04
37.0,5.437e+04,7.453e+01,3.912e+01,5.449e+04
38.5,6.084e+04,8.607e+01,3.661e+01,6.096e+04
39.9,6.850e+04,1.008e+02,4.082e+01,6.864e+04
41.4,7.786e+04,1.094e+02,4.725e+01,7.802e+04
42.9,8.832e+04,1.269e+02,4.489e+01,8.849e+04
44.4,1.001e+05,1.467e+02,4.951e+01,1.003e+05
45.9,1.143e+05,1.802e+02,6.365e+01,1.146e+05
47.3,1.330e+05,2.384e+02,7.874e+01,1.333e+05
48.8,1.557e+05,3.084e+02,1.037e+02,1.561e+05
50.3,1.816e+05,3.433e+02,1.472e+02,1.820e+05
51.8,2.079e+05,3.408e+02,2.031e+02,2.084e+05
53.3,2.314e+05,3.603e+02,2.661e+02,2.320e+05
54.7,2.469e+05,5.204e+02,2.512e+02,2.477e+05
56.2,2.758e+05,6.959e+02,2.201e+02,2.767e+05
57.7,3.084e+05,8.968e+02,4.419e+02,3.098e+05
59.2,3.450e+05,7.668e+02,7.095e+02,3.465e+05
60.6,3.941e+05,1.036e+03,8.708e+02,3.960e+05
62.1,4.984e+05,1.248e+03,1.047e+03,5.007e+05
63.6,6.645e+05,1.138e+03,1.102e+03,6.667e+05
65.1,8.498e+05,2.036e+03,1.360e+03,8.532e+05
66.6,9.475e+05,5.118e+03,1.234e+03,9.538e+05
68.0,9.192e+05,1.012e+04,1.081e+03,9.304e+05
69.5,8.616e+05,1.479e+04,2.190e+03,8.786e+05
71.0,8.104e+05,1.746e+04,4.331e+03,8.322e+05
72.5,7.558e+05,1.726e+04,7.112e+03,7.802e+05
74.0,6.962e+05,1.425e+04,9.565e+03,7.200e+05
75.4,6.249e+05,9.020e+03,8.783e+03,6.427e+05
76.9,5.592e+05,5.609e+03,6.487e+03,5.713e+05
78.4,5.303e+05,4.206e+03,4.529e+03,5.390e+05
79.9,5.190e+05,3.704e+03,3.262e+03,5.259e+05
81.4,4.904e+05,3.507e+03,2.656e+03,4.965e+05
82.8,4.432e+05,2.904e+03,2.071e+03,4.482e+05
84.3,3.665e+05,2.068e+03,1.588e+03,3.702e+05
85.8,2.879e+05,1.448e+03,1.206e+03,2.905e+05
87.3,2.354e+05,1.206e+03,8.657e+02,2.375e+05
88.8,2.116e+05,1.118e+03,6.390e+02,2.134e+05
90.2,2.340e+05,8.651e+02,5.615e+02,2.355e+05
91.7,3.124e+05,6.807e+02,6.742e+02,3.138e+05
93.2,3.965e+05,7.194e+02,1.030e+03,3.982e+05
94.7,4.072e+05,7.058e+02,1.276e+03,4.092e+05
96.1,3.570e+05,5.940e+02,1.361e+03,3.589e+05
97.6,3.130e+05,5.518e+02,1.493e+03,3.150e+05
99.1,2.757e+05,5.231e+02,1.997e+03,2.782e+05
100.6,2.392e+05,3.831e+02,1.987e+03,2.416e+05
102.1,2.099e+05,3.829e+02,2.127e+03,2.124e+05
103.5,2.050e+05,6.462e+02,2.969e+03,2.086e+05
105.0,2.123e+05,1.298e+03,4.647e+03,2.182e+05
106.5,2.291e+05,2.301e+03,7.358e+03,2.388e+05
108.0,2.299e+05,2.884e+03,8.839e+03,2.416e+05
109.5,2.082e+05,2.912e+03,7.684e+03,2.187e+05
110.9,1.988e+05,3.330e+03,6.987e+03,2.091e+05
112.4,1.988e+05,3.576e+03,6.013e+03,2.084e+05
113.9,1.996e+05,2.940e+03,3.692e+03,2.062e+05
115.4,1.994e+05,2.058e+03,2.325e+03,2.038e+05
116.9,1.940e+05,1.764e+03,2.535e+03,1.983e+05
118.3,1.963e+05,2.151e+03,3.856e+03,2.023e+05
119.8,1.983e+05,2.740e+03,4.938e+03,2.060e+05
121.3,1.913e+05,3.276e+03,4.922e+03,1.995e+05
122.8,1.983e+05,4.428e+03,5.046e+03,2.078e+05
124.3,2.021e+05,5.655e+03,5.398e+03,2.131e+05
125.7,1.958e+05,6.705e+03,5.053e+03,2.076e+05
127.2,2.018e+05,8.853e+03,5.109e+03,2.157e+05
128.7,2.294e+05,1.223e+04,5.620e+03,2.472e+05
130.2,2.398e+05,1.288e+04,5.483e+03,2.582e+05
131.6,1.902e+05,9.695e+03,4.047e+03,2.040e+05
133.1,9.060e+04,5.441e+03,2.102e+03,9.814e+04
134.6,1.412e+04,1.146e+03,5.921e+02,1.586e+04
136.1,8.789e+03,1.037e+03,5.036e+02,1.033e+04
137.6,8.645e+03,1.271e+03,5.252e+02,1.044e+04
139.0,8.788e+03,1.535e+03,5.463e+02,1.087e+04
140.5,8.779e+03,1.567e+03,5.022e+02,1.085e+04
142.0,8.972e+03,1.547e+03,4.304e+02,1.095e+04
143.5,9.019e+03,1.508e+03,3.850e+02,1.091e+04
145.0,8.937e+03,1.370e+03,3.090e+02,1.062e+04
146.4,8.983e+03,1.289e+03,2.595e+02,1.053e+04
147.9,8.881e+03,1.233e+03,2.331e+02,1.035e+04
149.4,8.519e+03,1.118e+03,1.816e+02,9.819e+03
150.9,8.423e+03,1.088e+03,1.562e+02,9.667e+03
152.4,8.334e+03,1.141e+03,1.625e+02,9.638e+03
153.8,8.364e+03,1.112e+03,1.321e+02,9.608e+03
155.3,7.742e+03,9.305e+02,8.592e+01,8.758e+03
156.8,9.420e+03,1.066e+03,7.021e+01,1.056e+04
158.3,1.095e+04,1.274e+03,7.328e+01,1.230e+04
159.8,1.056e+04,1.125e+03,8.300e+01,1.177e+04
161.2,1.017e+04,9.829e+02,8.742e+01,1.124e+04
162.7,1.035e+04,1.038e+03,8.834e+01,1.148e+04
164.2,1.018e+04,1.068e+03,8.496e+01,1.134e+04
165.7,9.917e+03,1.156e+03,7.772e+01,1.115e+04
167.1,9.840e+03,1.234e+03,7.852e+01,1.115e+04
168.6,9.966e+03,1.209e+03,8.172e+01,1.126e+04
170.1,1.011e+04,1.239e+03,6.577e+01,1.141e+04
171.6,9.658e+03,1.197e+03,5.511e+01,1.091e+04
173.1,9.290e+03,1.112e+03,4.691e+01,1.045e+04
174.5,9.510e+03,1.097e+03,4.794e+01,1.065e+04
176.0,9.869e+03,1.304e+03,5.215e+01,1.123e+04
177.5,9.447e+03,1.403e+03,5.156e+01,1.090e+04
179.0,9.135e+03,1.263e+03,5.444e+01,1.045e+04
180.5,9.184e+03,1.112e+03,7.504e+01,1.037e+04
181.9,9.485e+03,1.272e+03,8.773e+01,1.084e+04
183.4,9.976e+03,1.299e+03,9.366e+01,1.137e+04
184.9,9.842e+03,1.149e+03,8.181e+01,1.107e+04
186.4,9.524e+03,1.079e+03,6.998e+01,1.067e+04
187.9,9.455e+03,1.074e+03,7.490e+01,1.060e+04
189.3,9.874e+03,1.270e+03,7.559e+01,1.122e+04
190.8,1.062e+04,1.554e+03,8.516e+01,1.226e+04
192.3,1.017e+04,1.635e+03,9.703e+01,1.190e+04
193.8,9.544e+03,1.545e+03,8.865e+01,1.118e+04
195.3,8.905e+03,1.139e+03,8.847e+01,1.013e+04
196.7,8.363e+03,1.127e+03,1.301e+02,9.620e+03
198.2,8.863e+03,1.402e+03,1.205e+02,1.039e+04
199.7,9.110e+03,1.286e+03,9.968e+01,1.050e+04
