freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.053e+01,9.539e+02,1.215e+02,1.146e+03
1.6,2.492e+02,9.839e+02,5.120e+02,1.745e+03
3.1,2.788e+02,6.001e+02,5.897e+02,1.469e+03
4.7,2.954e+02,1.268e+03,6.024e+02,2.166e+03
6.3,2.953e+02,2.960e+03,5.959e+02,3.851e+03
7.8,3.048e+02,4.408e+03,5.849e+02,5.298e+03
9.4,3.236e+02,6.064e+03,5.780e+02,6.966e+03
10.9,3.387e+02,8.085e+03,6.251e+02,9.049e+03
12.5,3.853e+02,1.101e+04,7.075e+02,1.210e+04
14.1,4.357e+02,1.535e+04,6.687e+02,1.645e+04
15.6,4.572e+02,2.047e+04,6.479e+02,2.157e+04
17.2,5.159e+02,2.596e+04,6.404e+02,2.711e+04
18.8,5.532e+02,3.227e+04,6.401e+02,3.346e+04
20.3,8.210e+02,3.981e+04,6.520e+02,4.128e+04
21.9,1.042e+03,4.900e+04,6.582e+02,5.070e+04
23.4,1.039e+03,6.099e+04,6.912e+02,6.272e+04
25.0,1.545e+03,7.544e+04,7.341e+02,7.771e+04
26.6,1.672e+03,8.461e+04,7.451e+02,8.703e+04
28.1,1.269e+03,8.806e+04,7.233e+02,9.005e+04
29.7,1.005e+03,9.983e+04,7.212e+02,1.016e+05
31.3,1.144e+03,1.253e+05,7.592e+02,1.272e+05
32.8,1.608e+03,1.678e+05,9.114e+02,1.703e+05
34.4,2.149e+03,2.268e+05,1.096e+03,2.300e+05
36.0,2.719e+03,2.840e+05,1.355e+03,2.880e+05
37.5,3.363e+03,3.460e+05,1.557e+03,3.509e+05
39.1,4.753e+03,4.669e+05,1.612e+03,4.732e+05
40.6,8.014e+03,7.592e+05,1.713e+03,7.690e+05
42.2,1.176e+04,1.105e+06,2.267e+03,1.119e+06
43.8,1.126e+04,1.113e+06,4.179e+03,1.129e+06
45.3,1.230e+04,1.319e+06,6.951e+03,1.338e+06
46.9,1.734e+04,1.806e+06,1.000e+04,1.833e+06
48.5,2.184e+04,2.131e+06,1.122e+04,2.165e+06
50.0,2.081e+04,1.880e+06,8.175e+03,1.909e+06
51.6,1.616e+04,1.445e+06,3.259e+03,1.464e+06
