freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.665e+01,1.207e+03,1.426e+02,1.407e+03
1.6,2.696e+02,9.246e+02,6.736e+02,1.868e+03
3.2,3.105e+02,3.951e+02,8.023e+02,1.508e+03
4.9,2.933e+02,1.156e+03,8.027e+02,2.252e+03
6.5,2.930e+02,2.847e+03,8.274e+02,3.967e+03
8.1,2.886e+02,4.388e+03,8.231e+02,5.500e+03
9.7,2.879e+02,6.287e+03,8.114e+02,7.386e+03
11.4,3.047e+02,8.745e+03,8.546e+02,9.905e+03
13.0,2.995e+02,1.197e+04,9.293e+02,1.320e+04
14.6,3.080e+02,1.642e+04,8.403e+02,1.756e+04
16.2,3.123e+02,2.171e+04,7.841e+02,2.281e+04
17.8,3.318e+02,2.753e+04,7.732e+02,2.863e+04
19.5,3.439e+02,3.450e+04,7.666e+02,3.561e+04
21.1,3.894e+02,4.328e+04,7.530e+02,4.442e+04
22.7,3.911e+02,5.561e+04,8.043e+02,5.680e+04
24.3,4.593e+02,6.825e+04,8.132e+02,6.952e+04
26.0,7.093e+02,7.861e+04,7.936e+02,8.011e+04
27.6,9.053e+02,9.064e+04,7.636e+02,9.231e+04
29.2,7.308e+02,1.058e+05,8.019e+02,1.074e+05
30.8,4.854e+02,1.313e+05,7.848e+02,1.326e+05
32.4,3.623e+02,1.739e+05,7.507e+02,1.750e+05
34.1,3.284e+02,2.348e+05,8.229e+02,2.360e+05
35.7,3.634e+02,3.078e+05,1.047e+03,3.092e+05
37.3,4.684e+02,3.950e+05,1.235e+03,3.967e+05
38.9,5.895e+02,5.463e+05,1.220e+03,5.481e+05
40.6,8.136e+02,9.115e+05,1.187e+03,9.135e+05
42.2,1.224e+03,1.603e+06,1.721e+03,1.606e+06
43.8,9.530e+02,2.161e+06,2.087e+03,2.164e+06
45.4,4.986e+02,2.830e+06,1.625e+03,2.832e+06
47.0,6.440e+02,3.388e+06,3.160e+03,3.391e+06
48.7,8.385e+02,3.053e+06,6.587e+03,3.061e+06
50.3,7.439e+02,2.294e+06,8.990e+03,2.303e+06
51.9,5.564e+02,1.627e+06,1.044e+04,1.638e+06
53.5,5.045e+02,1.112e+06,9.469e+03,1.122e+06
55.2,5.513e+02,7.479e+05,5.120e+03,7.536e+05
56.8,6.257e+02,5.622e+05,5.673e+03,5.685e+05
58.4,6.505e+02,4.972e+05,1.124e+04,5.091e+05
60.0,7.102e+02,4.439e+05,1.214e+04,4.568e+05
61.6,1.012e+03,3.970e+05,1.003e+04,4.081e+05
63.3,1.350e+03,3.449e+05,9.888e+03,3.562e+05
64.9,1.615e+03,2.967e+05,1.124e+04,3.096e+05
66.5,2.210e+03,2.606e+05,1.356e+04,2.763e+05
68.1,2.825e+03,2.372e+05,1.357e+04,2.536e+05
69.8,3.439e+03,2.175e+05,9.259e+03,2.302e+05
71.4,4.115e+03,1.925e+05,6.612e+03,2.032e+05
73.0,5.413e+03,1.651e+05,6.813e+03,1.773e+05
74.6,7.380e+03,1.393e+05,1.019e+04,1.568e+05
76.2,9.237e+03,1.193e+05,1.607e+04,1.446e+05
77.9,1.150e+04,1.080e+05,2.244e+04,1.419e+05
79.5,1.304e+04,1.009e+05,2.856e+04,1.425e+05
81.1,1.475e+04,9.779e+04,3.237e+04,1.449e+05
82.7,1.999e+04,9.568e+04,2.856e+04,1.442e+05
84.4,2.892e+04,8.383e+04,2.310e+04,1.359e+05
86.0,3.699e+04,7.061e+04,2.355e+04,1.312e+05
87.6,3.556e+04,6.483e+04,2.892e+04,1.293e+05
89.2,2.918e+04,6.294e+04,3.395e+04,1.261e+05
90.8,2.167e+04,6.285e+04,4.452e+04,1.290e+05
92.5,1.511e+04,8.826e+04,7.030e+04,1.737e+05
94.1,9.741e+03,1.615e+05,1.072e+05,2.784e+05
95.7,7.000e+03,2.866e+05,1.436e+05,4.372e+05
97.3,6.215e+03,4.123e+05,1.590e+05,5.775e+05
99.0,7.088e+03,4.294e+05,1.364e+05,5.729e+05
100.6,8.120e+03,3.358e+05,9.035e+04,4.343e+05
102.2,6.939e+03,2.667e+05,5.896e+04,3.326e+05
103.8,4.874e+03,2.586e+05,4.964e+04,3.131e+05
105.4,4.011e+03,2.325e+05,4.107e+04,2.776e+05
107.1,4.586e+03,1.831e+05,2.966e+04,2.173e+05
108.7,3.384e+03,1.332e+05,2.057e+04,1.572e+05
110.3,2.632e+03,1.017e+05,1.491e+04,1.192e+05
111.9,2.832e+03,1.070e+05,1.389e+04,1.237e+05
113.6,2.417e+03,1.285e+05,1.476e+04,1.457e+05
115.2,1.871e+03,1.414e+05,1.454e+04,1.578e+05
116.8,1.566e+03,1.481e+05,1.429e+04,1.640e+05
118.4,1.541e+03,1.599e+05,1.514e+04,1.766e+05
120.0,1.621e+03,1.715e+05,1.642e+04,1.895e+05
121.7,1.781e+03,1.761e+05,1.719e+04,1.951e+05
123.3,1.849e+03,1.682e+05,1.670e+04,1.867e+05
124.9,1.624e+03,1.426e+05,1.471e+04,1.590e+05
126.5,1.495e+03,1.037e+05,1.246e+04,1.176e+05
128.2,1.526e+03,7.748e+04,1.201e+04,9.102e+04
129.8,2.325e+03,7.475e+04,1.244e+04,8.952e+04
131.4,4.152e+03,8.224e+04,1.103e+04,9.742e+04
133.0,3.114e+03,5.587e+04,6.696e+03,6.568e+04
134.6,9.736e+02,1.111e+04,2.173e+03,1.426e+04
136.3,7.430e+02,5.641e+03,1.600e+03,7.984e+03
137.9,8.769e+02,5.112e+03,1.439e+03,7.429e+03
139.5,8.138e+02,6.423e+03,1.463e+03,8.700e+03
141.1,1.323e+03,6.422e+03,1.477e+03,9.223e+03
142.8,1.779e+03,3.787e+03,1.215e+03,6.781e+03
144.4,1.621e+03,3.357e+03,1.182e+03,6.160e+03
146.0,1.091e+03,3.413e+03,1.192e+03,5.696e+03
147.6,8.788e+02,3.312e+03,1.162e+03,5.353e+03
149.2,1.007e+03,3.555e+03,1.204e+03,5.767e+03
150.9,9.833e+02,4.056e+03,1.220e+03,6.259e+03
152.5,1.011e+03,5.102e+03,1.335e+03,7.449e+03
154.1,1.014e+03,6.074e+03,1.515e+03,8.603e+03
155.7,9.571e+02,6.448e+03,1.513e+03,8.918e+03
157.4,8.605e+02,7.615e+03,1.494e+03,9.969e+03
159.0,8.566e+02,8.206e+03,1.459e+03,1.052e+04
160.6,8.914e+02,8.526e+03,1.341e+03,1.076e+04
162.2,8.303e+02,8.717e+03,1.283e+03,1.083e+04
163.8,8.799e+02,9.364e+03,1.342e+03,1.159e+04
165.5,9.949e+02,9.452e+03,1.349e+03,1.180e+04
167.1,1.020e+03,9.556e+03,1.339e+03,1.191e+04
168.7,1.050e+03,9.965e+03,1.420e+03,1.243e+04
170.3,1.095e+03,1.007e+04,1.452e+03,1.262e+04
172.0,1.201e+03,1.015e+04,1.420e+03,1.278e+04
173.6,1.342e+03,1.072e+04,1.552e+03,1.361e+04
175.2,1.812e+03,1.080e+04,1.554e+03,1.417e+04
176.8,2.464e+03,1.114e+04,1.611e+03,1.521e+04
178.4,2.865e+03,1.203e+04,1.629e+03,1.652e+04
180.1,2.720e+03,1.243e+04,1.610e+03,1.676e+04
181.7,2.660e+03,1.241e+04,1.570e+03,1.664e+04
183.3,2.785e+03,1.338e+04,1.568e+03,1.773e+04
184.9,2.939e+03,1.382e+04,1.661e+03,1.842e+04
186.6,2.972e+03,1.422e+04,1.739e+03,1.893e+04
188.2,3.618e+03,1.501e+04,1.833e+03,2.046e+04
189.8,4.464e+03,1.573e+04,1.927e+03,2.212e+04
191.4,5.422e+03,1.602e+04,1.946e+03,2.339e+04
193.0,7.173e+03,1.660e+04,1.976e+03,2.575e+04
194.7,9.201e+03,1.885e+04,2.059e+03,3.011e+04
196.3,1.087e+04,2.099e+04,2.321e+03,3.418e+04
197.9,1.219e+04,2.244e+04,2.507e+03,3.714e+04
199.5,1.420e+04,2.421e+04,2.566e+03,4.097e+04
