freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.447e+02,1.086e+02,1.142e+02,8.675e+02
1.4,4.726e+02,1.769e+02,1.953e+02,8.448e+02
2.9,1.530e+02,1.494e+02,1.696e+02,4.720e+02
4.3,3.564e+02,1.618e+02,1.594e+02,6.777e+02
5.7,1.185e+03,2.002e+02,1.636e+02,1.549e+03
7.1,1.832e+03,2.084e+02,1.849e+02,2.225e+03
8.6,2.480e+03,2.013e+02,1.854e+02,2.867e+03
10.0,3.316e+03,1.815e+02,2.064e+02,3.704e+03
11.4,4.207e+03,1.753e+02,1.785e+02,4.561e+03
12.9,5.366e+03,1.845e+02,1.725e+02,5.723e+03
14.3,6.635e+03,1.778e+02,1.845e+02,6.997e+03
15.7,7.982e+03,1.542e+02,2.004e+02,8.337e+03
17.1,9.346e+03,1.533e+02,2.012e+02,9.701e+03
18.6,1.092e+04,1.559e+02,2.119e+02,1.128e+04
20.0,1.274e+04,1.729e+02,2.320e+02,1.315e+04
21.4,1.504e+04,1.765e+02,2.309e+02,1.545e+04
22.9,1.752e+04,1.838e+02,2.607e+02,1.797e+04
24.3,2.061e+04,1.939e+02,3.016e+02,2.111e+04
25.7,2.370e+04,2.104e+02,3.212e+02,2.423e+04
27.1,2.670e+04,2.421e+02,3.384e+02,2.728e+04
28.6,3.001e+04,2.298e+02,3.718e+02,3.061e+04
30.0,3.397e+04,2.308e+02,4.040e+02,3.461e+04
31.4,3.843e+04,2.411e+02,4.457e+02,3.911e+04
32.9,4.354e+04,2.659e+02,5.521e+02,4.436e+04
34.3,4.934e+04,3.127e+02,6.056e+02,5.025e+04
35.7,5.556e+04,3.260e+02,6.298e+02,5.652e+04
37.1,6.315e+04,3.478e+02,8.053e+02,6.430e+04
38.6,7.225e+04,4.076e+02,9.982e+02,7.365e+04
40.0,8.316e+04,4.180e+02,1.130e+03,8.471e+04
41.4,9.600e+04,4.920e+02,1.327e+03,9.782e+04
42.8,1.116e+05,6.388e+02,1.592e+03,1.138e+05
44.3,1.316e+05,7.844e+02,1.848e+03,1.342e+05
45.7,1.567e+05,9.213e+02,2.271e+03,1.599e+05
47.1,1.873e+05,1.093e+03,2.866e+03,1.912e+05
48.6,2.260e+05,1.428e+03,3.750e+03,2.312e+05
50.0,2.679e+05,2.026e+03,4.664e+03,2.746e+05
51.4,2.847e+05,2.425e+03,4.716e+03,2.919e+05
52.8,2.722e+05,1.998e+03,4.645e+03,2.788e+05
54.3,2.834e+05,2.206e+03,5.575e+03,2.911e+05
55.7,3.330e+05,3.164e+03,7.502e+03,3.437e+05
57.1,3.985e+05,4.074e+03,1.160e+04,4.142e+05
58.6,4.700e+05,3.651e+03,1.438e+04,4.881e+05
60.0,5.615e+05,3.677e+03,1.882e+04,5.840e+05
61.4,7.476e+05,6.958e+03,2.893e+04,7.835e+05
62.8,1.068e+06,1.391e+04,4.418e+04,1.126e+06
64.3,1.546e+06,2.725e+04,6.852e+04,1.641e+06
65.7,2.168e+06,5.246e+04,1.131e+05,2.334e+06
67.1,2.665e+06,7.758e+04,1.632e+05,2.906e+06
68.6,2.594e+06,7.379e+04,1.698e+05,2.838e+06
70.0,2.304e+06,6.725e+04,1.676e+05,2.539e+06
71.4,2.012e+06,8.717e+04,1.908e+05,2.290e+06
72.8,1.734e+06,1.138e+05,2.225e+05,2.071e+06
74.3,1.467e+06,1.282e+05,2.367e+05,1.831e+06
75.7,1.226e+06,1.273e+05,2.259e+05,1.579e+06
77.1,1.023e+06,1.124e+05,1.933e+05,1.329e+06
78.6,9.034e+05,9.278e+04,1.524e+05,1.149e+06
80.0,8.187e+05,7.015e+04,1.172e+05,1.006e+06
81.4,7.490e+05,5.670e+04,9.557e+04,9.012e+05
82.8,7.182e+05,4.949e+04,8.479e+04,8.525e+05
84.3,7.327e+05,4.963e+04,8.731e+04,8.697e+05
85.7,7.681e+05,5.349e+04,9.813e+04,9.197e+05
87.1,8.160e+05,6.312e+04,1.131e+05,9.922e+05
88.6,8.674e+05,7.881e+04,1.297e+05,1.076e+06
90.0,9.202e+05,9.141e+04,1.424e+05,1.154e+06
91.4,9.528e+05,9.932e+04,1.508e+05,1.203e+06
92.8,9.997e+05,1.131e+05,1.678e+05,1.281e+06
94.3,1.013e+06,1.260e+05,1.829e+05,1.322e+06
95.7,9.608e+05,1.316e+05,1.826e+05,1.275e+06
97.1,8.981e+05,1.322e+05,1.791e+05,1.209e+06
98.6,8.642e+05,1.367e+05,1.821e+05,1.183e+06
100.0,8.577e+05,1.505e+05,1.858e+05,1.194e+06
101.4,8.064e+05,1.577e+05,1.828e+05,1.147e+06
102.8,7.561e+05,1.670e+05,1.903e+05,1.113e+06
104.3,7.118e+05,1.831e+05,2.115e+05,1.106e+06
105.7,6.627e+05,2.057e+05,2.405e+05,1.109e+06
107.1,6.110e+05,2.278e+05,2.640e+05,1.103e+06
108.6,5.319e+05,2.422e+05,2.669e+05,1.041e+06
110.0,4.550e+05,2.316e+05,2.394e+05,9.260e+05
111.4,4.172e+05,2.082e+05,1.922e+05,8.176e+05
112.8,3.983e+05,1.907e+05,1.576e+05,7.467e+05
114.3,3.761e+05,1.670e+05,1.498e+05,6.929e+05
115.7,3.440e+05,1.309e+05,1.384e+05,6.133e+05
117.1,3.150e+05,9.890e+04,1.167e+05,5.305e+05
118.6,3.052e+05,1.007e+05,9.689e+04,5.028e+05
120.0,3.142e+05,1.231e+05,1.011e+05,5.383e+05
121.4,3.127e+05,1.580e+05,1.286e+05,5.993e+05
122.8,2.794e+05,1.912e+05,1.397e+05,6.102e+05
124.3,2.374e+05,1.976e+05,1.254e+05,5.604e+05
125.7,2.184e+05,1.764e+05,1.145e+05,5.093e+05
127.1,2.111e+05,1.505e+05,1.203e+05,4.819e+05
128.5,2.004e+05,1.349e+05,1.401e+05,4.754e+05
130.0,1.884e+05,1.204e+05,1.470e+05,4.558e+05
131.4,1.883e+05,1.041e+05,1.481e+05,4.405e+05
132.8,1.010e+05,6.001e+04,8.796e+04,2.489e+05
134.3,1.123e+04,1.035e+04,2.205e+04,4.363e+04
135.7,5.108e+03,5.055e+03,2.233e+04,3.250e+04
137.1,1.155e+04,5.369e+03,4.806e+04,6.497e+04
138.5,1.034e+04,4.213e+03,3.861e+04,5.317e+04
140.0,5.676e+03,3.270e+03,1.263e+04,2.158e+04
141.4,4.732e+03,2.796e+03,6.184e+03,1.371e+04
142.8,5.263e+03,2.486e+03,5.245e+03,1.299e+04
144.3,5.414e+03,2.148e+03,4.690e+03,1.225e+04
145.7,5.130e+03,2.025e+03,4.539e+03,1.169e+04
147.1,4.794e+03,2.210e+03,4.591e+03,1.160e+04
148.5,3.812e+03,2.247e+03,3.637e+03,9.696e+03
150.0,3.407e+03,2.050e+03,3.010e+03,8.468e+03
151.4,3.793e+03,1.918e+03,4.529e+03,1.024e+04
152.8,3.697e+03,1.823e+03,6.362e+03,1.188e+04
154.3,3.684e+03,1.735e+03,6.709e+03,1.213e+04
155.7,4.167e+03,2.580e+03,6.369e+03,1.312e+04
157.1,5.458e+03,4.291e+03,7.278e+03,1.703e+04
158.5,6.767e+03,5.278e+03,9.054e+03,2.110e+04
160.0,8.046e+03,5.665e+03,9.832e+03,2.354e+04
161.4,9.155e+03,5.807e+03,1.043e+04,2.539e+04
162.8,9.473e+03,5.580e+03,1.258e+04,2.763e+04
164.3,1.015e+04,5.021e+03,1.577e+04,3.094e+04
165.7,9.809e+03,4.200e+03,1.700e+04,3.101e+04
167.1,9.288e+03,3.647e+03,1.695e+04,2.988e+04
168.5,9.315e+03,3.592e+03,1.608e+04,2.898e+04
170.0,9.759e+03,3.444e+03,1.491e+04,2.811e+04
171.4,1.005e+04,3.100e+03,1.469e+04,2.783e+04
172.8,1.067e+04,3.360e+03,1.442e+04,2.845e+04
174.3,1.162e+04,4.070e+03,1.460e+04,3.029e+04
175.7,1.295e+04,5.094e+03,1.541e+04,3.345e+04
177.1,1.239e+04,6.119e+03,1.555e+04,3.406e+04
178.5,1.091e+04,6.565e+03,1.483e+04,3.230e+04
180.0,9.983e+03,7.023e+03,1.411e+04,3.111e+04
181.4,1.127e+04,7.646e+03,1.402e+04,3.293e+04
182.8,1.443e+04,8.663e+03,1.543e+04,3.852e+04
184.3,1.713e+04,8.876e+03,1.735e+04,4.335e+04
185.7,2.017e+04,8.455e+03,1.962e+04,4.824e+04
187.1,2.473e+04,8.032e+03,2.314e+04,5.591e+04
188.5,2.920e+04,7.866e+03,2.836e+04,6.543e+04
190.0,3.658e+04,7.595e+03,3.594e+04,8.012e+04
191.4,4.304e+04,7.725e+03,4.291e+04,9.368e+04
192.8,4.589e+04,7.742e+03,4.533e+04,9.897e+04
194.3,5.002e+04,7.026e+03,4.039e+04,9.743e+04
195.7,5.253e+04,6.516e+03,3.830e+04,9.735e+04
197.1,5.822e+04,6.544e+03,4.076e+04,1.055e+05
198.5,6.184e+04,6.131e+03,4.202e+04,1.100e+05
200.0,5.423e+04,6.189e+03,3.518e+04,9.560e+04
